# Stellarium DSO catalog;;;;;;;;
# Version 3.7 standard;;;;;;;;
# NGC;MES;CAL;RA;DEC;MAG;TYPE;SIZE1;SIZE2
6530;0;0;271.129;-24.358;4.6;CLSTR;14;0
2571;0;0;124.733;-29.75;7;OPNCL;13;0
2736;0;0;135.05;-45.95;99;H-I-I;13;3
6568;0;0;273.18;-21.6;8.6;OPNCL;12;0
2925;0;0;143.296;-53.398;8.3;OPNCL;12;0
6469;0;0;268.3;-22.32;8.2;OPNCL;12;0
288;0;0;13.1885;-26.58261;8.13;GLOCL;12;0
2395;0;0;111.774;13.584;8;OPNCL;12;0
3680;0;0;171.408;-43.243;7.6;OPNCL;12;0
1893;0;0;80.683;33.412;7.5;OPNCL;12;0
6200;0;0;251.02;-47.47;7.4;OPNCL;12;0
2482;0;0;118.8;-24.258;7.3;OPNCL;12;0
225;0;0;10.913;61.775;7;OPNCL;12;0
6709;0;0;282.825;10.318;6.7;OPNCL;12;0
6169;0;0;248.528;-44.016;6.6;OPNCL;12;0
2669;0;0;131.592;-52.948;6.1;OPNCL;12;0
5316;0;0;208.487;-61.868;6;OPNCL;12;0
5053;0;0;199.11288;17.70025;9.96;GLOCL;11;0
2112;0;0;88.438;0.41;9.1;OPNCL;11;0
744;0;0;29.65;55.47;7.9;OPNCL;11;0
957;0;0;38.338;57.56;7.6;OPNCL;11;0
4517;0;0;188.189942;0.115039;99;GALXY;10.733;1.717
3628;0;0;170.070908;13.589489;9.48;GALXY;10.577;2.538
2141;0;0;90.729;10.447;9.4;OPNCL;10;0
4852;0;0;195.037;-59.613;8.9;OPNCL;10;0
6362;0;0;262.97912;-67.04833;8.86;GLOCL;10;0
4052;0;0;180.3;-63.22;8.8;OPNCL;10;0
2659;0;0;130.65;-44.98;8.6;OPNCL;10;0
6645;0;0;278.13;-16.91;8.5;OPNCL;10;0
2345;0;0;107.075;-13.193;7.7;OPNCL;10;0
2396;0;0;112;-11.717;7.4;CLSTR;10;0
2567;0;0;124.633;-30.64;7.4;OPNCL;10;0
2251;0;0;98.658;8.367;7.3;OPNCL;10;0
2335;0;0;106.704;-10.028;7.2;OPNCL;10;0
6242;0;0;253.9;-39.47;6.4;CLSTR;10;0
6322;0;0;259.604;-42.933;6;OPNCL;10;0
7762;0;0;357.465;68.025;10;OPNCL;10;0
2359;0;0;109.625;-13.23;99;H-I-I;10;5
2264;0;0;100.242;9.895;3.9;OPNCL;10;7
2023;0;0;85.4079;-2.2645;7.82;REFNB;10;8
2064;0;0;86.65;0.057;99;REFNB;10;10
2246;0;0;97.66475;4.98531;99;BINEB;10;10
6847;0;0;299.2525;29.3344;99;H-I-I;10;10
2587;0;0;125.857;-29.493;9.2;OPNCL;9;0
2658;0;0;130.875;-32.665;9.2;OPNCL;9;0
2204;0;0;93.887;-18.665;8.6;OPNCL;9;0
1513;0;0;62.65;49.52;8.4;OPNCL;9;0
2324;0;0;106.029;1.045;8.4;OPNCL;9;0
7086;0;0;322.612;51.6;8.4;OPNCL;9;0
3496;0;0;164.9;-60.337;8.2;OPNCL;9;0
